Title,Summary,EventDate,DatePrecision,Category,Importance,SourceType,SourceKey,SourceUrl
"Queen at City Hall, Truro, UK","Queen performed at City Hall in Truro, UK.",1971-08-17,ExactDate,Concert,30,Curated,queenconcerts-28,https://www.queenconcerts.com/detail/live/28/queen-live-17-08-1971-city-hall-truro-uk.html
"Queen at Imperial College, London, UK","Queen performed at Imperial College in London, UK.",1971-10-06,ExactDate,Concert,30,Curated,queenconcerts-30,https://www.queenconcerts.com/detail/live/30/queen-live-06-10-1971-imperial-college-london-uk.html
"Queen at Rugby Club, Twickenham, UK","Queen performed at Rugby Club in Twickenham, UK.",1971-12-31,ExactDate,Concert,30,Curated,queenconcerts-32,https://www.queenconcerts.com/detail/live/32/queen-live-31-12-1971-rugby-club-twickenham-uk.html
"Queen at Bedford College, London, UK","Queen performed at Bedford College in London, UK.",1972-01-28,ExactDate,Concert,30,Curated,queenconcerts-33,https://www.queenconcerts.com/detail/live/33/queen-live-28-01-1972-bedford-college-london-uk.html
"Queen at King's College Medical School, London, UK","Queen performed at King's College Medical School in London, UK.",1972-03-10,ExactDate,Concert,30,Curated,queenconcerts-34,https://www.queenconcerts.com/detail/live/34/queen-live-10-03-1972-kings-college-medical-school-london-uk.html
"Queen at Forest Hill Hospital, London, UK","Queen performed at Forest Hill Hospital in London, UK.",1972-03-24,ExactDate,Concert,30,Curated,queenconcerts-35,https://www.queenconcerts.com/detail/live/35/queen-live-24-03-1972-forest-hill-hospital-london-uk.html
"Queen at Queen Charlotte's Maternity Hospital, London, UK","Queen performed at Queen Charlotte's Maternity Hospital in London, UK.",1972-04-25,ExactDate,Concert,30,Curated,queenconcerts-2428,https://www.queenconcerts.com/detail/live/2428/queen-live-25-04-1972-queen-charlottes-maternity-hospital-london-uk.html
"Queen at Baths Hall, Epsom, UK","Queen performed at Baths Hall in Epsom, UK.",1972-12-09,ExactDate,Concert,30,Curated,queenconcerts-2379,https://www.queenconcerts.com/detail/live/2379/queen-live-09-12-1972-baths-hall-epsom-uk.html
"Queen at The Marquee Club, London, UK","Queen performed at The Marquee Club in London, UK.",1972-12-21,ExactDate,Concert,30,Curated,queenconcerts-37,https://www.queenconcerts.com/detail/live/37/queen-live-21-12-1972-the-marquee-club-london-uk.html
"Queen at The Marquee Club, London, UK","Queen performed at The Marquee Club in London, UK.",1973-04-09,ExactDate,Concert,30,Curated,queenconcerts-38,https://www.queenconcerts.com/detail/live/38/queen-live-09-04-1973-the-marquee-club-london-uk.html
"Queen at Winter Gardens, Penzance, UK","Queen performed at Winter Gardens in Penzance, UK.",1973-07-01,ExactDate,Concert,30,Curated,queenconcerts-2378,https://www.queenconcerts.com/detail/live/2378/queen-live-july-1973-winter-gardens-penzance-uk.html
"Queen at Queen Mary College, Basingstoke, UK","Queen performed at Queen Mary College in Basingstoke, UK.",1973-07-13,ExactDate,Concert,30,Curated,queenconcerts-39,https://www.queenconcerts.com/detail/live/39/queen-live-13-07-1973-queen-mary-college-basingstoke-uk.html
"Queen at The Marquee Club, London, UK","Queen performed at The Marquee Club in London, UK.",1973-07-23,ExactDate,Concert,30,Curated,queenconcerts-1728,https://www.queenconcerts.com/detail/live/1728/queen-live-23-07-1973-the-marquee-club-london-uk.html
"Queen at The Mayfair, Newcastle, UK","Queen performed at The Mayfair in Newcastle, UK.",1973-08-03,ExactDate,Concert,30,Curated,queenconcerts-1740,https://www.queenconcerts.com/detail/live/1740/queen-live-03-08-1973-the-mayfair-newcastle-uk.html
"Queen at Underground, Bonn, Germany","Queen performed at Underground in Bonn, Germany.",1973-10-11,ExactDate,Concert,30,Curated,queenconcerts-41,https://www.queenconcerts.com/detail/live/41/queen-live-11-10-1973-underground-bonn-germany.html
"Queen at Locarno, Sunderland, UK","Queen performed at Locarno in Sunderland, UK.",1973-10-12,ExactDate,Concert,30,Curated,queenconcerts-2253,https://www.queenconcerts.com/detail/live/2253/queen-live-12-10-1973-locarno-sunderland-uk.html
"Queen at Le Blow Up, Luxembourg, Luxembourg","Queen performed at Le Blow Up in Luxembourg, Luxembourg.",1973-10-14,ExactDate,Concert,30,Curated,queenconcerts-42,https://www.queenconcerts.com/detail/live/42/queen-live-14-10-1973-le-blow-up-luxembourg-luxembourg.html
"Queen at Paris Theatre, London, UK","Queen performed at Paris Theatre in London, UK.",1973-10-20,ExactDate,Concert,30,Curated,queenconcerts-43,https://www.queenconcerts.com/detail/live/43/queen-live-20-10-1973-paris-theatre-london-uk.html
"Queen at Imperial College, London, UK","Queen performed at Imperial College in London, UK.",1973-10-26,ExactDate,Concert,30,Curated,queenconcerts-44,https://www.queenconcerts.com/detail/live/44/queen-live-26-10-1973-imperial-college-london-uk.html
"Queen at Imperial College, London, UK","Queen performed at Imperial College in London, UK.",1973-11-02,ExactDate,Concert,30,Curated,queenconcerts-45,https://www.queenconcerts.com/detail/live/45/queen-live-02-11-1973-imperial-college-london-uk.html
"Queen at King George's Hall, Blackburn, UK","Queen performed at King George's Hall in Blackburn, UK.",1973-11-13,ExactDate,Concert,30,Curated,queenconcerts-47,https://www.queenconcerts.com/detail/live/47/queen-live-13-11-1973-king-georges-hall-blackburn-uk.html
"Queen at Gaumont, Worcester, UK","Queen performed at Gaumont in Worcester, UK.",1973-11-15,ExactDate,Concert,30,Curated,queenconcerts-48,https://www.queenconcerts.com/detail/live/48/queen-live-15-11-1973-gaumont-worcester-uk.html
"Queen at University, Lancaster, UK","Queen performed at University in Lancaster, UK.",1973-11-16,ExactDate,Concert,30,Curated,queenconcerts-49,https://www.queenconcerts.com/detail/live/49/queen-live-16-11-1973-university-lancaster-uk.html
"Queen at Stadium, Liverpool, UK","Queen performed at Stadium in Liverpool, UK.",1973-11-17,ExactDate,Concert,30,Curated,queenconcerts-50,https://www.queenconcerts.com/detail/live/50/queen-live-17-11-1973-stadium-liverpool-uk.html
"Queen at Victoria Hall, Hanley, UK","Queen performed at Victoria Hall in Hanley, UK.",1973-11-18,ExactDate,Concert,30,Curated,queenconcerts-51,https://www.queenconcerts.com/detail/live/51/queen-live-18-11-1973-victoria-hall-hanley-uk.html
"Queen at Civic, Wolverhampton, UK","Queen performed at Civic in Wolverhampton, UK.",1973-11-19,ExactDate,Concert,30,Curated,queenconcerts-52,https://www.queenconcerts.com/detail/live/52/queen-live-19-11-1973-civic-wolverhampton-uk.html
"Queen at New Theatre, Oxford, UK","Queen performed at New Theatre in Oxford, UK.",1973-11-20,ExactDate,Concert,30,Curated,queenconcerts-53,https://www.queenconcerts.com/detail/live/53/queen-live-20-11-1973-new-theatre-oxford-uk.html
"Queen at Guildhall, Preston, UK","Queen performed at Guildhall in Preston, UK.",1973-11-21,ExactDate,Concert,30,Curated,queenconcerts-54,https://www.queenconcerts.com/detail/live/54/queen-live-21-11-1973-guildhall-preston-uk.html
"Queen at City Hall, Newcastle, UK","Queen performed at City Hall in Newcastle, UK.",1973-11-22,ExactDate,Concert,30,Curated,queenconcerts-55,https://www.queenconcerts.com/detail/live/55/queen-live-22-11-1973-city-hall-newcastle-uk.html
